filename,width,height,pixels,aspect_ratio,mode,file_size_kb
0001.png,2040,1404,2864160,1.453,RGB,4837.9
0002.png,2040,1848,3769920,1.104,RGB,6938.7
0003.png,2040,1356,2766240,1.504,RGB,5145.8
0004.png,2040,1344,2741760,1.518,RGB,3053.1
0005.png,1608,2040,3280320,0.788,RGB,5842.1
0006.png,1356,2040,2766240,0.665,RGB,3597.2
0007.png,2040,1356,2766240,1.504,RGB,5783.7
0008.png,2040,1356,2766240,1.504,RGB,4763.4
0009.png,2040,1524,3108960,1.339,RGB,5607.3
0010.png,2040,1644,3353760,1.241,RGB,5970.8
0011.png,2040,1356,2766240,1.504,RGB,4848.0
0012.png,2040,1356,2766240,1.504,RGB,4512.4
0013.png,2040,1368,2790720,1.491,RGB,2295.2
0014.png,1356,2040,2766240,0.665,RGB,3024.5
0015.png,2040,1356,2766240,1.504,RGB,4873.7
0016.png,2040,1356,2766240,1.504,RGB,4710.9
0017.png,2040,1356,2766240,1.504,RGB,4309.8
0018.png,2040,1368,2790720,1.491,RGB,3392.2
0019.png,2040,1536,3133440,1.328,RGB,5762.4
0020.png,2040,1392,2839680,1.466,RGB,3706.7
0021.png,2040,768,1566720,2.656,RGB,2247.0
0022.png,2040,960,1958400,2.125,RGB,3816.3
0023.png,2040,1356,2766240,1.504,RGB,2872.9
0024.png,2040,1356,2766240,1.504,RGB,4630.5
0025.png,1140,2040,2325600,0.559,RGB,3896.6
0026.png,2040,1536,3133440,1.328,RGB,6810.0
0027.png,2040,1548,3157920,1.318,RGB,4179.4
0028.png,2040,1992,4063680,1.024,RGB,6075.8
0029.png,2040,1356,2766240,1.504,RGB,6290.5
0030.png,2040,1272,2594880,1.604,RGB,4444.2
0031.png,2040,1356,2766240,1.504,RGB,4720.6
0032.png,2040,1356,2766240,1.504,RGB,3496.9
0033.png,2040,1356,2766240,1.504,RGB,4092.8
0034.png,2040,1356,2766240,1.504,RGB,4973.7
0035.png,2040,1356,2766240,1.504,RGB,4601.7
0036.png,2040,1536,3133440,1.328,RGB,3777.1
0037.png,2040,1356,2766240,1.504,RGB,3954.2
0038.png,2040,1224,2496960,1.667,RGB,4289.2
0039.png,2040,1356,2766240,1.504,RGB,4444.0
0040.png,2040,1356,2766240,1.504,RGB,3342.0
0041.png,2040,1356,2766240,1.504,RGB,4363.7
